match,rally_id,stroke_num,stroke_type,hit_time,prev_stroke_type,player_hitting,player1_x,player1_y,player1_pos,player2_x,player2_y,player2_pos,image_path
1,Point1,1,Serve,585.51,None,2,2.596344470977783,4.447649955749512,Center-Middle,2.3037445545196533,9.078054428100586,Center-Middle,Skeleton_marked_frames/annotated_match_1_point_Point1_stroke_1.jpg.jpg
1,Point1,2,Net-Shot-Bh,587.4749999999999,Serve,1,1.3994368314743042,3.212229013442993,Right-Middle,2.1028366088867188,11.436983108520508,Center-Back,Skeleton_marked_frames/annotated_match_1_point_Point1_stroke_2.jpg.jpg
1,Point1,3,Net-Lift,588.5775,Net-Shot-Bh,2,1.8696081638336182,3.531912326812744,Center-Middle,2.0376148223876953,10.51684284210205,Center-Middle,Skeleton_marked_frames/annotated_match_1_point_Point1_stroke_3.jpg.jpg
1,Point1,4,Smash,590.0175,Net-Lift,1,2.728212594985962,3.1665494441986084,Center-Middle,3.514634132385254,12.149825096130371,Left-Back,Skeleton_marked_frames/annotated_match_1_point_Point1_stroke_4.jpg.jpg
1,Point1,5,Block,591.21,Smash,2,2.811222791671753,2.76733136177063,Center-Middle,3.07757830619812,11.007997512817383,Center-Middle,Skeleton_marked_frames/annotated_match_1_point_Point1_stroke_5.jpg.jpg
1,Point1,6,Net-Lift,592.125,Block,1,3.1579034328460693,11.007904052734375,Center,,,Unknown,Skeleton_marked_frames/annotated_match_1_point_Point1_stroke_6.jpg.jpg
1,Point1,7,Smash,593.205,Net-Lift,2,4.354851245880127,2.078394889831543,Left-Back,3.423798084259033,11.455020904541016,Center-Back,Skeleton_marked_frames/annotated_match_1_point_Point1_stroke_7.jpg.jpg
1,Point2,1,Serve,612.72,None,2,,,Unknown,,,Unknown,Skeleton_marked_frames/annotated_match_1_point_Point2_stroke_1.jpg.jpg
1,Point2,2,Net-Lift-Bh,614.19,Serve,1,,,Unknown,,,Unknown,Skeleton_marked_frames/annotated_match_1_point_Point2_stroke_2.jpg.jpg
1,Point2,3,Dropshot,615.6225,Net-Lift-Bh,2,0.731600821018219,3.810563087463379,Right-Middle,3.8290040493011475,10.822746276855469,Right-Middle,Skeleton_marked_frames/annotated_match_1_point_Point2_stroke_3.jpg.jpg
1,Point2,4,Net-Lift,617.0550000000001,Dropshot,1,3.5829367637634277,5.99763822555542,Left-Front,4.190400123596191,6.085940361022949,Left,Skeleton_marked_frames/annotated_match_1_point_Point2_stroke_4.jpg.jpg
1,Point2,5,Dropshot,618.3375000000001,Net-Lift,2,3.5303382873535156,10.704771995544434,Left,3.2847917079925537,10.764870643615723,Center-Middle,Skeleton_marked_frames/annotated_match_1_point_Point2_stroke_5.jpg.jpg
1,Point2,6,Net-Shot-Bh,619.8000000000001,Dropshot,1,4.702643394470215,10.746237754821777,Left,,,Unknown,Skeleton_marked_frames/annotated_match_1_point_Point2_stroke_6.jpg.jpg
1,Point2,7,Net-Shot,621.1275,Net-Shot-Bh,2,,,Unknown,,,Unknown,Skeleton_marked_frames/annotated_match_1_point_Point2_stroke_7.jpg.jpg
1,Point2,8,Net-Shot-Bh,622.3499999999999,Net-Shot,1,,,Unknown,,,Unknown,Skeleton_marked_frames/annotated_match_1_point_Point2_stroke_8.jpg.jpg
1,Point2,9,Net-Shot-Bh,623.5725,Net-Shot-Bh,2,,,Unknown,,,Unknown,Skeleton_marked_frames/annotated_match_1_point_Point2_stroke_9.jpg.jpg
1,Point2,10,Net-Shot-Bh,624.8625,Net-Shot-Bh,1,2.430341958999634,3.218491792678833,Center-Middle,2.1510467529296875,10.0665283203125,Center-Middle,Skeleton_marked_frames/annotated_match_1_point_Point2_stroke_10.jpg.jpg
1,Point2,11,Net-Shot-Bh,626.3025,Net-Shot-Bh,2,2.492112159729004,4.397820472717285,Center-Middle,2.6967878341674805,9.440875053405762,Center-Middle,Skeleton_marked_frames/annotated_match_1_point_Point2_stroke_11.jpg.jpg
1,Point2,12,Clear,628.3125,Net-Shot-Bh,1,1.9332178831100464,1.663953423500061,Center-Back,2.139047145843506,2.03252911567688,Center,Skeleton_marked_frames/annotated_match_1_point_Point2_stroke_12.jpg.jpg
1,Point2,13,Dropshot,630.5550000000001,Clear,2,1.5173519849777222,4.133681774139404,Right-Middle,2.16452693939209,10.66480827331543,Center-Middle,Skeleton_marked_frames/annotated_match_1_point_Point2_stroke_13.jpg.jpg
1,Point2,14,Net-Shot-Bh,632.0999999999999,Dropshot,1,1.0738699436187744,6.019265651702881,Right-Front,1.7782658338546753,9.07124137878418,Center-Middle,Skeleton_marked_frames/annotated_match_1_point_Point2_stroke_14.jpg.jpg
