match_no,rally_id,stroke_num,stroke_type,hitting_player,hit_time,image_path
1,Point1,1,Serve,2,585.51,KeyFrames/match_1_point_Point1_stroke_1.jpg
1,Point1,2,Net-Shot-Bh,1,587.4749999999999,KeyFrames/match_1_point_Point1_stroke_2.jpg
1,Point1,3,Net-Lift,2,588.5775,KeyFrames/match_1_point_Point1_stroke_3.jpg
1,Point1,4,Smash,1,590.0175,KeyFrames/match_1_point_Point1_stroke_4.jpg
1,Point1,5,Block,2,591.21,KeyFrames/match_1_point_Point1_stroke_5.jpg
1,Point1,6,Net-Lift,1,592.125,KeyFrames/match_1_point_Point1_stroke_6.jpg
1,Point1,7,Smash,2,593.205,KeyFrames/match_1_point_Point1_stroke_7.jpg
1,Point2,1,Serve,2,612.72,KeyFrames/match_1_point_Point2_stroke_1.jpg
1,Point2,2,Net-Lift-Bh,1,614.19,KeyFrames/match_1_point_Point2_stroke_2.jpg
1,Point2,3,Dropshot,2,615.6225,KeyFrames/match_1_point_Point2_stroke_3.jpg
1,Point2,4,Net-Lift,1,617.0550000000001,KeyFrames/match_1_point_Point2_stroke_4.jpg
1,Point2,5,Dropshot,2,618.3375000000001,KeyFrames/match_1_point_Point2_stroke_5.jpg
1,Point2,6,Net-Shot-Bh,1,619.8000000000001,KeyFrames/match_1_point_Point2_stroke_6.jpg
1,Point2,7,Net-Shot,2,621.1275,KeyFrames/match_1_point_Point2_stroke_7.jpg
1,Point2,8,Net-Shot-Bh,1,622.3499999999999,KeyFrames/match_1_point_Point2_stroke_8.jpg
1,Point2,9,Net-Shot-Bh,2,623.5725,KeyFrames/match_1_point_Point2_stroke_9.jpg
1,Point2,10,Net-Shot-Bh,1,624.8625,KeyFrames/match_1_point_Point2_stroke_10.jpg
1,Point2,11,Net-Shot-Bh,2,626.3025,KeyFrames/match_1_point_Point2_stroke_11.jpg
1,Point2,12,Clear,1,628.3125,KeyFrames/match_1_point_Point2_stroke_12.jpg
1,Point2,13,Dropshot,2,630.5550000000001,KeyFrames/match_1_point_Point2_stroke_13.jpg
1,Point2,14,Net-Shot-Bh,1,632.0999999999999,KeyFrames/match_1_point_Point2_stroke_14.jpg
1,Point2,15,Net-Lift,2,633.27,KeyFrames/match_1_point_Point2_stroke_15.jpg
1,Point2,16,Smash,1,635.0999999999999,KeyFrames/match_1_point_Point2_stroke_16.jpg
1,Point2,17,Block,2,636.8475,KeyFrames/match_1_point_Point2_stroke_17.jpg
1,Point2,18,Net-Shot,1,638.0325,KeyFrames/match_1_point_Point2_stroke_18.jpg
1,Point2,19,Net-Lift-Bh,2,639.2775,KeyFrames/match_1_point_Point2_stroke_19.jpg
1,Point2,20,Dropshot,1,640.905,KeyFrames/match_1_point_Point2_stroke_20.jpg
1,Point2,21,Net-Shot-Bh,2,642.4950000000001,KeyFrames/match_1_point_Point2_stroke_21.jpg
1,Point2,22,Net-Lift-Bh,1,643.8525,KeyFrames/match_1_point_Point2_stroke_22.jpg
1,Point2,23,Dropshot,2,645.5325,KeyFrames/match_1_point_Point2_stroke_23.jpg
1,Point2,24,Net-Lift,1,647.0250000000001,KeyFrames/match_1_point_Point2_stroke_24.jpg
1,Point2,25,FAULT,2,648.6525,KeyFrames/match_1_point_Point2_stroke_25.jpg
1,Point3,1,Serve,1,677.1375,KeyFrames/match_1_point_Point3_stroke_1.jpg
1,Point3,2,Net-Shot-Bh,2,678.795,KeyFrames/match_1_point_Point3_stroke_2.jpg
1,Point3,3,Net-Shot,1,679.785,KeyFrames/match_1_point_Point3_stroke_3.jpg
1,Point3,4,Net-Shot,2,680.97,KeyFrames/match_1_point_Point3_stroke_4.jpg
1,Point4,2,Dropshot-Bh,2,704.73,KeyFrames/match_1_point_Point4_stroke_2.jpg
1,Point4,3,Block-Bh,1,705.6525,KeyFrames/match_1_point_Point4_stroke_3.jpg
1,Point4,4,Net-Shot-Bh,2,706.53,KeyFrames/match_1_point_Point4_stroke_4.jpg
1,Point4,5,Net-Lift-Bh,1,707.625,KeyFrames/match_1_point_Point4_stroke_5.jpg
1,Point4,6,Dropshot-Bh,2,709.1925,KeyFrames/match_1_point_Point4_stroke_6.jpg
1,Point4,7,Block-Bh,1,710.61,KeyFrames/match_1_point_Point4_stroke_7.jpg
1,Point4,8,Dropshot-Bh,2,711.795,KeyFrames/match_1_point_Point4_stroke_8.jpg
1,Point5,1,Serve,2,735.6675,KeyFrames/match_1_point_Point5_stroke_1.jpg
1,Point5,2,FAULT,1,737.7675,KeyFrames/match_1_point_Point5_stroke_2.jpg
1,Point6,1,Serve,2,757.335,KeyFrames/match_1_point_Point6_stroke_1.jpg
